Row Number,Matched Rules,Unique Rule Count
62,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
63,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
66,"['block_of_affere > 1.5 && changes_in_node > 2.5 && changes_in_stru <= 5.0 && no_of_nodes_in > 2.5 && special_forms > 2.5  => 2', 'block_of_affere > 1.5 && changes_in_node > 2.5 && changes_in_stru <= 4.5 && no_of_nodes_in > 3.5 && special_forms > 1.5  => 2']",2
69,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
71,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
72,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
73,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
76,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in > 2.5 && special_forms <= 2.5  => 2'],1
79,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
81,['block_of_affere > 1.5 && changes_in_node > 2.5 && changes_in_stru <= 5.0 && no_of_nodes_in > 2.5 && special_forms > 2.5  => 2'],1
84,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in > 2.5 && special_forms <= 2.5  => 2'],1
85,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in > 2.5 && special_forms <= 2.5  => 2'],1
86,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
87,['block_of_affere <= 1.5 && changes_in_node <= 3.5 && changes_in_stru > 3.5 && dislocation_of <= 1.5 && no_of_nodes_in <= 1.5 && special_forms > 1.5  => 2'],1
91,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
95,['block_of_affere > 1.5 && changes_in_node <= 2.5 && no_of_nodes_in <= 1.5  => 2'],1
96,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
97,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
99,['block_of_affere <= 1.5 && changes_in_stru > 5.5 && dislocation_of <= 1.5 && no_of_nodes_in <= 1.5 && special_forms <= 1.5  => 2'],1
100,['block_of_affere <= 1.5 && changes_in_stru > 5.5 && dislocation_of <= 1.5 && no_of_nodes_in <= 1.5 && special_forms <= 1.5  => 2'],1
102,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
103,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
104,"['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2', 'block_of_affere > 1.5 && changes_in_node > 3.5 && no_of_nodes_in <= 1.5  => 2']",2
105,['block_of_affere <= 1.5 && changes_in_stru > 1.5 && dislocation_of > 1.5 && no_of_nodes_in <= 1.5 && special_forms <= 1.5  => 2'],1
109,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
110,['block_of_affere > 1.5 && changes_in_node <= 2.5 && dislocation_of <= 1.5 && no_of_nodes_in > 1.5  => 2'],1
111,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
112,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
113,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
114,"['block_of_affere <= 1.5 && changes_in_node > 1.5 && changes_in_stru <= 4.5 && no_of_nodes_in > 1.5 && special_forms <= 1.5  => 2', 'block_of_affere <= 1.5 && dislocation_of > 1.5 && no_of_nodes_in > 1.5 && special_forms <= 2.5  => 2']",2
115,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in > 2.5 && special_forms <= 2.5  => 2'],1
116,['block_of_affere <= 1.5 && dislocation_of > 1.5 && no_of_nodes_in > 1.5 && special_forms <= 2.5  => 2'],1
118,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
119,['block_of_affere > 1.5 && changes_in_node <= 2.5 && no_of_nodes_in <= 1.5  => 2'],1
120,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
121,['block_of_affere <= 1.5 && changes_in_node <= 3.5 && changes_in_stru > 3.5 && dislocation_of <= 1.5 && no_of_nodes_in <= 1.5 && special_forms > 1.5  => 2'],1
129,['block_of_affere <= 1.5 && dislocation_of > 1.5 && no_of_nodes_in > 1.5 && special_forms <= 2.5  => 2'],1
130,['block_of_affere <= 1.5 && changes_in_node <= 3.5 && changes_in_stru > 3.5 && dislocation_of <= 1.5 && no_of_nodes_in <= 1.5 && special_forms > 1.5  => 2'],1
131,['block_of_affere <= 1.5 && changes_in_node <= 3.5 && changes_in_stru <= 4.5 && dislocation_of <= 1.5 && no_of_nodes_in <= 3.0 && special_forms > 1.5  => 2'],1
134,"['block_of_affere > 1.5 && changes_in_node <= 2.5 && dislocation_of <= 1.5 && no_of_nodes_in > 1.5  => 2', 'block_of_affere > 1.5 && changes_in_node <= 3.5 && changes_in_stru > 6.5 && no_of_nodes_in > 3.5 && special_forms <= 2.5  => 2']",2
137,"['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2', 'block_of_affere > 1.5 && changes_in_node > 3.5 && no_of_nodes_in <= 1.5  => 2']",2
138,"['block_of_affere > 1.5 && changes_in_node > 2.5 && changes_in_stru <= 5.0 && no_of_nodes_in > 2.5 && special_forms > 2.5  => 2', 'block_of_affere > 1.5 && changes_in_node > 2.5 && changes_in_stru <= 4.5 && no_of_nodes_in > 3.5 && special_forms > 1.5  => 2']",2
140,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
143,['block_of_affere > 1.5 && changes_in_node > 2.5 && no_of_nodes_in <= 2.5  => 2'],1
145,['block_of_affere <= 1.5 && changes_in_stru > 1.5 && dislocation_of > 1.5 && no_of_nodes_in <= 1.5 && special_forms <= 1.5  => 2'],1
147,['block_of_affere <= 1.5 && changes_in_stru > 1.5 && dislocation_of > 1.5 && no_of_nodes_in <= 1.5 && special_forms <= 1.5  => 2'],1
148,"['block_of_affere > 1.5 && changes_in_node > 2.5 && changes_in_stru <= 5.0 && no_of_nodes_in > 2.5 && special_forms > 2.5  => 2', 'block_of_affere > 1.5 && changes_in_node > 2.5 && changes_in_stru <= 4.5 && no_of_nodes_in > 3.5 && special_forms > 1.5  => 2']",2
