Row Number,Matched Rules,0,1,2,3,4,5
17,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}, {'Rule': '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3})","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}","{'Rule': '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,
18,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}, {'Rule': '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3})","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}","{'Rule': '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,
19,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
20,"({'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru <= 4.0) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}, {'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}, {'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}, {'Rule': '(no_of_nodes_in <= 2.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5})","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru <= 4.0) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}","{'Rule': '(no_of_nodes_in <= 2.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}",,
21,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
22,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
25,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
26,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node <= 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node <= 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
31,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
35,"({'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 2.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}, {'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 2.5) && (changes_in_lym > 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}, {'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4})","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 2.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 2.5) && (changes_in_lym > 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}",,,
36,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
37,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
38,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
39,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
47,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
48,"({'Rule': '(no_of_nodes_in > 1.5) && (changes_in_node <= 2.5) && (block_of_affere > 1.5) => 4', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in > 1.5) && (changes_in_node <= 2.5) && (block_of_affere > 1.5) => 4', 'Rule Length': 3}",,,,,
50,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
51,"({'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 2.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}, {'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 2.5) && (changes_in_lym > 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}, {'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4})","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 2.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 2.5) && (changes_in_lym > 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}",,,
52,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
53,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
54,"({'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru <= 4.0) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}, {'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 2.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}, {'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}, {'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}, {'Rule': '(no_of_nodes_in <= 2.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5})","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru <= 4.0) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 2.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}","{'Rule': '(no_of_nodes_in <= 2.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}",
57,"({'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}, {'Rule': '(no_of_nodes_in <= 2.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5})","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}","{'Rule': '(no_of_nodes_in <= 2.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}",,,,
58,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
59,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
60,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
62,"({'Rule': '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}, {'Rule': '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (special_forms > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 4}, {'Rule': '(no_of_nodes_in > 3.5) && (changes_in_node <= 3.5) && (changes_in_lym > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 4})","{'Rule': '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}","{'Rule': '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (special_forms > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 4}","{'Rule': '(no_of_nodes_in > 3.5) && (changes_in_node <= 3.5) && (changes_in_lym > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 4}",,,
65,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
67,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
68,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
69,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
72,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}, {'Rule': '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3})","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}","{'Rule': '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,
75,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
77,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}, {'Rule': '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}, {'Rule': '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (special_forms > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 4})","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}","{'Rule': '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}","{'Rule': '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (special_forms > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 4}",,,
79,"({'Rule': '(no_of_nodes_in <= 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 3', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 3', 'Rule Length': 3}",,,,,
80,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}, {'Rule': '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3})","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}","{'Rule': '(no_of_nodes_in > 2.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,
81,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
82,"({'Rule': '(no_of_nodes_in <= 2.5) && (changes_in_lym > 2.5) && (special_forms > 1.5) && (defect_in_node <= 3.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5},)","{'Rule': '(no_of_nodes_in <= 2.5) && (changes_in_lym > 2.5) && (special_forms > 1.5) && (defect_in_node <= 3.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}",,,,,
85,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
89,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node <= 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node <= 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
90,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
91,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
92,"({'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3},)","{'Rule': '(no_of_nodes_in <= 3.5) && (changes_in_node > 2.5) && (block_of_affere > 1.5) => 2', 'Rule Length': 3}",,,,,
94,"({'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 2.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}, {'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 2.5) && (changes_in_lym > 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}, {'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}, {'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}, {'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 6.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 6}, {'Rule': '(no_of_nodes_in <= 2.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5})","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 2.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 2.5) && (changes_in_lym > 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 1.5) && (special_forms <= 1.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 4}","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}","{'Rule': '(no_of_nodes_in <= 1.5) && (changes_in_stru > 6.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 6}","{'Rule': '(no_of_nodes_in <= 2.5) && (changes_in_node <= 3.5) && (changes_in_lym <= 2.5) && (special_forms <= 2.5) && (block_of_affere <= 1.5) => 2', 'Rule Length': 5}"
