Order,Length_1,Length_2,Length_3,Length_4,Length_5,Length_6,Length_7,Length_8,Length_9,Length_10,Length_11,Length_12,Length_13,Length_14,Length_15,Length_16,Length_17,Length_18,Length_19,Length_20,Length_21,Length_22,Length_23,Length_24,Length_25,Length_26,Length_27,Length_28,Length_29,Length_30,Length_31,Length_32,Length_33,Length_34
"Rule: (block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (changes_in_node <= 3.5) & (changes_in_stru <= 7.0) & (special_forms > 2.5) & (changes_in_stru > 4.5) & (changes_in_node > 2.5) & (changes_in_stru <= 5.5) & (no_of_nodes_in <= 1.5), Class: 2, Length: 10",class,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rule: (block_of_affere <= 1.5) & (early_uptake_in <= 1.5) & (no_of_nodes_in <= 3.0) & (changes_in_stru > 2.0) & (no_of_nodes_in <= 1.5) & (exclusion_of_no <= 1.5) & (changes_in_stru <= 5.5), Class: 4, Length: 7",class,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rule: (block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (changes_in_node <= 3.5) & (changes_in_stru <= 7.0) & (special_forms > 2.5) & (changes_in_stru > 4.5) & (changes_in_node > 2.5) & (changes_in_stru <= 5.5) & (no_of_nodes_in > 1.5), Class: 4, Length: 10",class,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rule: (block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (changes_in_node <= 3.5) & (changes_in_stru <= 7.0) & (special_forms > 2.5) & (changes_in_stru > 4.5) & (changes_in_node > 2.5) & (changes_in_stru > 5.5), Class: 2, Length: 9",class,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rule: (block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (changes_in_node <= 3.5) & (changes_in_stru > 7.0), Class: 4, Length: 5",class,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,
"Rule: (block_of_affere <= 1.5) & (early_uptake_in > 1.5) & (special_forms > 1.5) & (changes_in_node > 3.5), Class: 4, Length: 4",class,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,
"Rule: (block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node <= 1.5), Class: 4, Length: 4",class,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rule: (block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node <= 2.5) & (exclusion_of_no <= 1.5), Class: 2, Length: 6",class,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rule: (block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node <= 2.5) & (exclusion_of_no > 1.5) & (early_uptake_in <= 1.5), Class: 2, Length: 7",class,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rule: (block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node <= 2.5) & (exclusion_of_no > 1.5) & (early_uptake_in > 1.5), Class: 4, Length: 7",class,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rule: (block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in <= 2.5), Class: 2, Length: 6",class,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Rule: (block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in > 2.5) & (special_forms <= 2.5), Class: 2, Length: 7",class,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rule: (block_of_affere <= 1.5) & (early_uptake_in <= 1.5) & (no_of_nodes_in <= 3.0) & (changes_in_stru > 2.0) & (no_of_nodes_in <= 1.5) & (exclusion_of_no <= 1.5) & (changes_in_stru > 5.5), Class: 2, Length: 7",class,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rule: (block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in > 2.5) & (special_forms > 2.5) & (changes_in_stru <= 5.0), Class: 2, Length: 8",class,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rule: (block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node <= 3.5) & (changes_in_node > 1.5) & (changes_in_node > 2.5) & (no_of_nodes_in > 2.5) & (special_forms > 2.5) & (changes_in_stru > 5.0), Class: 4, Length: 8",class,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rule: (block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node > 3.5) & (changes_in_stru <= 6.5), Class: 2, Length: 4",class,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rule: (block_of_affere > 1.5) & (no_of_nodes_in <= 3.5) & (changes_in_node > 3.5) & (changes_in_stru > 6.5), Class: 4, Length: 4",class,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rule: (block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru <= 4.5) & (changes_in_node <= 2.5) & (early_uptake_in <= 1.5), Class: 1, Length: 5",class,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rule: (block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru <= 4.5) & (changes_in_node <= 2.5) & (early_uptake_in > 1.5), Class: 4, Length: 5",class,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rule: (block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru <= 4.5) & (changes_in_node > 2.5), Class: 2, Length: 4",class,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rule: (block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru > 4.5) & (special_forms <= 1.5), Class: 1, Length: 4",class,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rule: (block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru > 4.5) & (special_forms > 1.5) & (special_forms <= 2.5) & (changes_in_stru <= 6.5), Class: 4, Length: 6",class,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rule: (block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru > 4.5) & (special_forms > 1.5) & (special_forms <= 2.5) & (changes_in_stru > 6.5), Class: 2, Length: 6",class,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rule: (block_of_affere <= 1.5) & (early_uptake_in <= 1.5) & (no_of_nodes_in <= 3.0) & (changes_in_stru > 2.0) & (no_of_nodes_in <= 1.5) & (exclusion_of_no > 1.5) & (special_forms <= 1.5), Class: 2, Length: 7",class,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rule: (block_of_affere > 1.5) & (no_of_nodes_in > 3.5) & (changes_in_stru > 4.5) & (special_forms > 1.5) & (special_forms > 2.5), Class: 4, Length: 5",class,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rule: (block_of_affere <= 1.5) & (early_uptake_in <= 1.5) & (no_of_nodes_in <= 3.0) & (changes_in_stru > 2.0) & (no_of_nodes_in <= 1.5) & (exclusion_of_no > 1.5) & (special_forms > 1.5) & (changes_in_node <= 2.5), Class: 4, Length: 8",class,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rule: (block_of_affere <= 1.5) & (early_uptake_in <= 1.5) & (no_of_nodes_in <= 3.0) & (changes_in_stru > 2.0) & (no_of_nodes_in <= 1.5) & (exclusion_of_no > 1.5) & (special_forms > 1.5) & (changes_in_node > 2.5), Class: 2, Length: 8",class,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rule: (block_of_affere <= 1.5) & (early_uptake_in <= 1.5) & (no_of_nodes_in <= 3.0) & (changes_in_stru > 2.0) & (no_of_nodes_in > 1.5) & (special_forms <= 1.5), Class: 4, Length: 6",class,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rule: (block_of_affere <= 1.5) & (early_uptake_in <= 1.5) & (no_of_nodes_in <= 3.0) & (changes_in_stru > 2.0) & (no_of_nodes_in > 1.5) & (special_forms > 1.5) & (changes_in_stru <= 6.0), Class: 2, Length: 7",class,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rule: (block_of_affere <= 1.5) & (early_uptake_in <= 1.5) & (no_of_nodes_in <= 3.0) & (changes_in_stru > 2.0) & (no_of_nodes_in > 1.5) & (special_forms > 1.5) & (changes_in_stru > 6.0) & (special_forms <= 2.5), Class: 2, Length: 8",class,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
