Row Number,Matched Rules,0,1,2
24,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node > 2.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 3}, {'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2})","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node > 2.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 3}","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2}",
28,"({'Rule': '(early_uptake_in > 1.5) && (special_forms <= 1.5) && (block_of_affere > 1.5) && (changes_in_stru <= 6.0) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 5},)","{'Rule': '(early_uptake_in > 1.5) && (special_forms <= 1.5) && (block_of_affere > 1.5) && (changes_in_stru <= 6.0) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 5}",,
38,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 3}, {'Rule': '(special_forms <= 2.5) && (block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 4}, {'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2})","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 3}","{'Rule': '(special_forms <= 2.5) && (block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 4}","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2}"
39,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 3}, {'Rule': '(special_forms <= 2.5) && (block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 4}, {'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2})","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 3}","{'Rule': '(special_forms <= 2.5) && (block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 4}","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2}"
45,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 4', 'Rule Length': 2},)","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 4', 'Rule Length': 2}",,
51,"({'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 3.0)  => 3', 'Rule Length': 3},)","{'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 3.0)  => 3', 'Rule Length': 3}",,
52,"({'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3},)","{'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3}",,
57,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 3}, {'Rule': '(special_forms <= 2.5) && (block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 4}, {'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2})","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 3}","{'Rule': '(special_forms <= 2.5) && (block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 4}","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2}"
59,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 3}, {'Rule': '(special_forms <= 2.5) && (block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 4}, {'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2})","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 3}","{'Rule': '(special_forms <= 2.5) && (block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 4}","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2}"
62,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node > 2.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 3}, {'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2})","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node > 2.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 3}","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2}",
63,"({'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3},)","{'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3}",,
64,"({'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3},)","{'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3}",,
67,"({'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (changes_in_stru <= 2.0) && (exclusion_of_no > 1.5) && (no_of_nodes_in > 1.5)  => 2', 'Rule Length': 5},)","{'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (changes_in_stru <= 2.0) && (exclusion_of_no > 1.5) && (no_of_nodes_in > 1.5)  => 2', 'Rule Length': 5}",,
68,"({'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 3.0)  => 3', 'Rule Length': 3},)","{'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 3.0)  => 3', 'Rule Length': 3}",,
70,"({'Rule': '(early_uptake_in > 1.5) && (special_forms <= 1.5) && (block_of_affere > 1.5) && (changes_in_stru <= 6.0) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 5},)","{'Rule': '(early_uptake_in > 1.5) && (special_forms <= 1.5) && (block_of_affere > 1.5) && (changes_in_stru <= 6.0) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 5}",,
72,"({'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3},)","{'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3}",,
73,"({'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3},)","{'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3}",,
74,"({'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3},)","{'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3}",,
77,"({'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3},)","{'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3}",,
82,"({'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3},)","{'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3}",,
87,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node > 2.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 3}, {'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2})","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node > 2.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 3}","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2}",
90,"({'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3},)","{'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3}",,
92,"({'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 3.0)  => 3', 'Rule Length': 3},)","{'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 3.0)  => 3', 'Rule Length': 3}",,
94,"({'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3}, {'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 5.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 5})","{'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3}","{'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5) && (changes_in_stru > 5.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 5}",
97,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 3}, {'Rule': '(special_forms <= 2.5) && (block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 4}, {'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2})","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 3}","{'Rule': '(special_forms <= 2.5) && (block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 4}","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2}"
99,"({'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3},)","{'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3}",,
101,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node > 2.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 3}, {'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2})","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node > 2.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 3}","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2}",
105,"({'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3},)","{'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3}",,
106,"({'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (changes_in_stru <= 6.5) && (exclusion_of_no <= 1.5) && (no_of_nodes_in > 1.5)  => 2', 'Rule Length': 5},)","{'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (changes_in_stru <= 6.5) && (exclusion_of_no <= 1.5) && (no_of_nodes_in > 1.5)  => 2', 'Rule Length': 5}",,
109,"({'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (changes_in_stru <= 2.0) && (exclusion_of_no > 1.5) && (no_of_nodes_in > 1.5)  => 2', 'Rule Length': 5},)","{'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (changes_in_stru <= 2.0) && (exclusion_of_no > 1.5) && (no_of_nodes_in > 1.5)  => 2', 'Rule Length': 5}",,
110,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 3}, {'Rule': '(special_forms <= 2.5) && (block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 4}, {'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2})","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 3}","{'Rule': '(special_forms <= 2.5) && (block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 4}","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2}"
112,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 3}, {'Rule': '(special_forms <= 2.5) && (block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 4}, {'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2})","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 3}","{'Rule': '(special_forms <= 2.5) && (block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 4}","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2}"
113,"({'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 3.0)  => 3', 'Rule Length': 3},)","{'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 3.0)  => 3', 'Rule Length': 3}",,
118,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node > 2.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 3}, {'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2})","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node > 2.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 3}","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2}",
126,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2},)","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2}",,
127,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node > 2.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 3}, {'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2})","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node > 2.5) && (no_of_nodes_in <= 1.5)  => 2', 'Rule Length': 3}","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2}",
128,"({'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3},)","{'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3}",,
129,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2},)","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2}",,
134,"({'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 3.0)  => 3', 'Rule Length': 3},)","{'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 3.0)  => 3', 'Rule Length': 3}",,
140,"({'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3},)","{'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3}",,
141,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 4', 'Rule Length': 2},)","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 4', 'Rule Length': 2}",,
142,"({'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3},)","{'Rule': '(early_uptake_in <= 1.5) && (special_forms > 1.5) && (block_of_affere > 1.5)  => 2', 'Rule Length': 3}",,
144,"({'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 3.0)  => 3', 'Rule Length': 3},)","{'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 3.0)  => 3', 'Rule Length': 3}",,
145,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 3}, {'Rule': '(special_forms <= 2.5) && (block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 4}, {'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2})","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 3}","{'Rule': '(special_forms <= 2.5) && (block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 4}","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2}"
146,"({'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 3.0)  => 3', 'Rule Length': 3},)","{'Rule': '(early_uptake_in > 1.5) && (block_of_affere > 1.5) && (no_of_nodes_in > 3.0)  => 3', 'Rule Length': 3}",,
147,"({'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 3}, {'Rule': '(special_forms <= 2.5) && (block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 4}, {'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2})","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 3}","{'Rule': '(special_forms <= 2.5) && (block_of_affere <= 1.5) && (changes_in_node <= 2.5) && (no_of_nodes_in <= 2.5)  => 2', 'Rule Length': 4}","{'Rule': '(block_of_affere <= 1.5) && (changes_in_node <= 3.5)  => 2', 'Rule Length': 2}"
