Row Number,Matched Rules,0,1,Unique Rule Count
18,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
19,"({'Rule': 'block_of_affere <= 1.5 && early_uptake_in > 1.5 && no_of_nodes_in <= 1.5 && special_forms <= 1.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere <= 1.5 && early_uptake_in > 1.5 && no_of_nodes_in <= 1.5 && special_forms <= 1.5 => 2', 'Rule Length': 4}",,2
20,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
23,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar > 3.5 && no_of_nodes_in <= 3.5 && special_forms <= 2.5 => 2', 'Rule Length': 5},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar > 3.5 && no_of_nodes_in <= 3.5 && special_forms <= 2.5 => 2', 'Rule Length': 5}",,2
24,"({'Rule': 'block_of_affere > 1.5 && changes_in_node <= 2.5 && lym_nodes_enlar <= 2.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node <= 2.5 && lym_nodes_enlar <= 2.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
29,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
33,"({'Rule': 'block_of_affere <= 1.5 && changes_in_node <= 2.5 && changes_in_stru > 3.5 && early_uptake_in <= 1.5 && exclusion_of_no <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar > 1.5 => 2', 'Rule Length': 7},)","{'Rule': 'block_of_affere <= 1.5 && changes_in_node <= 2.5 && changes_in_stru > 3.5 && early_uptake_in <= 1.5 && exclusion_of_no <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar > 1.5 => 2', 'Rule Length': 7}",,2
34,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
35,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
36,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
43,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
44,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
47,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
48,"({'Rule': 'block_of_affere <= 1.5 && changes_in_stru > 2.0 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar <= 1.5 => 2', 'Rule Length': 5},)","{'Rule': 'block_of_affere <= 1.5 && changes_in_stru > 2.0 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar <= 1.5 => 2', 'Rule Length': 5}",,2
49,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
50,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
51,"({'Rule': 'block_of_affere <= 1.5 && changes_in_stru > 2.0 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar <= 1.5 => 2', 'Rule Length': 5},)","{'Rule': 'block_of_affere <= 1.5 && changes_in_stru > 2.0 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar <= 1.5 => 2', 'Rule Length': 5}",,2
53,"({'Rule': 'block_of_affere <= 1.5 && changes_in_node > 2.5 && changes_in_stru > 3.5 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar > 1.5 => 2', 'Rule Length': 6},)","{'Rule': 'block_of_affere <= 1.5 && changes_in_node > 2.5 && changes_in_stru > 3.5 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar > 1.5 => 2', 'Rule Length': 6}",,2
54,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
55,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
58,"({'Rule': 'block_of_affere > 1.5 && by_pass > 1.5 && changes_in_lym > 2.5 && changes_in_node <= 3.5 && lym_nodes_dimin <= 1.5 && no_of_nodes_in > 3.5 => 2', 'Rule Length': 6},)","{'Rule': 'block_of_affere > 1.5 && by_pass > 1.5 && changes_in_lym > 2.5 && changes_in_node <= 3.5 && lym_nodes_dimin <= 1.5 && no_of_nodes_in > 3.5 => 2', 'Rule Length': 6}",,2
60,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
62,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
64,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
65,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
68,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
71,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
73,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
76,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
77,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
78,"({'Rule': 'block_of_affere <= 1.5 && changes_in_lym > 2.5 && dislocation_of <= 1.5 && early_uptake_in > 1.5 && extravasates <= 1.5 && special_forms > 1.5 => 2', 'Rule Length': 6},)","{'Rule': 'block_of_affere <= 1.5 && changes_in_lym > 2.5 && dislocation_of <= 1.5 && early_uptake_in > 1.5 && extravasates <= 1.5 && special_forms > 1.5 => 2', 'Rule Length': 6}",,2
82,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar > 3.5 && no_of_nodes_in <= 3.5 && special_forms <= 2.5 => 2', 'Rule Length': 5},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar > 3.5 && no_of_nodes_in <= 3.5 && special_forms <= 2.5 => 2', 'Rule Length': 5}",,2
86,"({'Rule': 'block_of_affere > 1.5 && changes_in_node <= 2.5 && lym_nodes_enlar <= 2.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node <= 2.5 && lym_nodes_enlar <= 2.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
87,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
88,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
90,"({'Rule': 'block_of_affere <= 1.5 && early_uptake_in > 1.5 && no_of_nodes_in <= 1.5 && special_forms <= 1.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere <= 1.5 && early_uptake_in > 1.5 && no_of_nodes_in <= 1.5 && special_forms <= 1.5 => 2', 'Rule Length': 4}",,2
92,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
93,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}, {'Rule': 'block_of_affere > 1.5 && changes_in_node > 3.5 && no_of_nodes_in <= 1.5 => 2', 'Rule Length': 3})","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 3.5 && no_of_nodes_in <= 1.5 => 2', 'Rule Length': 3}",4
94,"({'Rule': 'block_of_affere <= 1.5 && changes_in_stru > 2.0 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar <= 1.5 => 2', 'Rule Length': 5},)","{'Rule': 'block_of_affere <= 1.5 && changes_in_stru > 2.0 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar <= 1.5 => 2', 'Rule Length': 5}",,2
97,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
98,"({'Rule': 'block_of_affere > 1.5 && changes_in_node <= 2.5 && lym_nodes_enlar <= 2.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node <= 2.5 && lym_nodes_enlar <= 2.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
99,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
100,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
102,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
103,"({'Rule': 'block_of_affere <= 1.5 && changes_in_node > 1.5 && early_uptake_in > 1.5 && exclusion_of_no <= 1.5 && no_of_nodes_in > 1.5 && special_forms <= 1.5 => 2', 'Rule Length': 6},)","{'Rule': 'block_of_affere <= 1.5 && changes_in_node > 1.5 && early_uptake_in > 1.5 && exclusion_of_no <= 1.5 && no_of_nodes_in > 1.5 && special_forms <= 1.5 => 2', 'Rule Length': 6}",,2
104,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
105,"({'Rule': 'block_of_affere <= 1.5 && changes_in_lym > 2.5 && dislocation_of > 1.5 && early_uptake_in > 1.5 && extravasates <= 1.5 && special_forms <= 2.5 => 2', 'Rule Length': 6},)","{'Rule': 'block_of_affere <= 1.5 && changes_in_lym > 2.5 && dislocation_of > 1.5 && early_uptake_in > 1.5 && extravasates <= 1.5 && special_forms <= 2.5 => 2', 'Rule Length': 6}",,2
107,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
109,"({'Rule': 'block_of_affere > 1.5 && changes_in_node <= 2.5 && lym_nodes_enlar <= 2.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node <= 2.5 && lym_nodes_enlar <= 2.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
110,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
111,"({'Rule': 'block_of_affere <= 1.5 && changes_in_node > 2.5 && changes_in_stru > 3.5 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar > 1.5 => 2', 'Rule Length': 6},)","{'Rule': 'block_of_affere <= 1.5 && changes_in_node > 2.5 && changes_in_stru > 3.5 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar > 1.5 => 2', 'Rule Length': 6}",,2
113,"({'Rule': 'block_of_affere <= 1.5 && changes_in_node <= 2.5 && changes_in_stru > 3.5 && early_uptake_in <= 1.5 && exclusion_of_no <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar > 1.5 => 2', 'Rule Length': 7},)","{'Rule': 'block_of_affere <= 1.5 && changes_in_node <= 2.5 && changes_in_stru > 3.5 && early_uptake_in <= 1.5 && exclusion_of_no <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar > 1.5 => 2', 'Rule Length': 7}",,2
118,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
121,"({'Rule': 'block_of_affere <= 1.5 && changes_in_stru > 2.0 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar <= 1.5 => 2', 'Rule Length': 5},)","{'Rule': 'block_of_affere <= 1.5 && changes_in_stru > 2.0 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar <= 1.5 => 2', 'Rule Length': 5}",,2
122,"({'Rule': 'block_of_affere <= 1.5 && changes_in_node > 2.5 && changes_in_stru > 3.5 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar > 1.5 => 2', 'Rule Length': 6},)","{'Rule': 'block_of_affere <= 1.5 && changes_in_node > 2.5 && changes_in_stru > 3.5 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar > 1.5 => 2', 'Rule Length': 6}",,2
123,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
124,"({'Rule': 'block_of_affere <= 1.5 && changes_in_node > 2.5 && changes_in_stru > 3.5 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar > 1.5 => 2', 'Rule Length': 6},)","{'Rule': 'block_of_affere <= 1.5 && changes_in_node > 2.5 && changes_in_stru > 3.5 && early_uptake_in <= 1.5 && extravasates <= 1.5 && lym_nodes_enlar > 1.5 => 2', 'Rule Length': 6}",,2
125,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
127,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
128,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
130,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
131,"({'Rule': 'block_of_affere > 1.5 && by_pass <= 1.5 && changes_in_lym > 2.5 && changes_in_node <= 3.5 && dislocation_of <= 1.5 && lym_nodes_dimin <= 1.5 && no_of_nodes_in > 3.5 => 2', 'Rule Length': 7},)","{'Rule': 'block_of_affere > 1.5 && by_pass <= 1.5 && changes_in_lym > 2.5 && changes_in_node <= 3.5 && dislocation_of <= 1.5 && lym_nodes_dimin <= 1.5 && no_of_nodes_in > 3.5 => 2', 'Rule Length': 7}",,2
134,"({'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4},)","{'Rule': 'block_of_affere > 1.5 && changes_in_node > 2.5 && lym_nodes_enlar <= 3.5 && no_of_nodes_in <= 3.5 => 2', 'Rule Length': 4}",,2
